hoc_root: /Users/pcoskren-home/Subversion/WearneLab/Publications/LuebkePaper/GeneratedHocFiles
#	name	complete/apical/basal	young/old	x-microns-per-pixel	y-microns-per-pixel	z-microns-per-pixel	swc path	spinefile path	resting potential
May3t-apical	apical	YOUNG	.2	.2	.2	May3t/May3t_apical.swc	May3t/May3t_spines_apical.txt	-61.76
May3t-basal	basal	YOUNG	.2	.2	.2	May3t/May3t_basal.swc	May3t/May3t_spines_basal.txt	-61.76
May3j-all	complete	YOUNG	.2	.2	.2	May3j/May3j.swc	May3j/May3j_spines.txt	-64.00
May3j-apical	apical	YOUNG	.2	.2	.2	May3j/May3j_apical.swc	May3j/May3j_spines_apical.txt	-64.00
May3j-basal	basal	YOUNG	.2	.2	.2	May3j/May3j_basal.swc	May3j/May3j_spines_basal.txt	-64.00
May3x-all	complete	YOUNG	.2	.2	.2	May3x/May3x_all.swc	May3x/May3x_spines.txt	-57.00
May3x-apical	apical	YOUNG	.2	.2	.2	May3x/May3x_apical.swc	May3x/May3x_spines_apical.txt	-57.00
May3x-basal	basal	YOUNG	.2	.2	.2	May3x/May3x_basal.swc	May3x/May3x_spines_basal.txt	-57.00
# May3i-revised	complete	YOUNG	.25	.25	.2	May3i/DoronsIntegration/temp-correction-5.swc	May3i/DoronsIntegration/temp-correction-5.txt	-62.19
# test-total	complete	YOUNG	.2	.2	.2	test/test-total.swc	-	-57.00
# test-apical	apical	YOUNG	.2	.2	.2	test/test-total.swc	-	-57.00

