radius,numberIntersections,intersectionArea,meanIntersectionDiameter
Aug3e-apical,660.000000,4.000000,3.830115,1.075319
Aug3e-apical,680.000000,1.000000,0.035687,0.213163
Aug3f-basal,20.000000,9.000000,21.640600,1.541869
Aug3f-basal,40.000000,29.000000,28.694523,1.051403
Aug3f-basal,60.000000,39.000000,28.051948,0.885829
Aug3f-basal,80.000000,40.000000,25.106658,0.851634
Aug3f-basal,100.000000,30.000000,14.311342,0.746174
Aug3f-basal,120.000000,25.000000,11.713439,0.737735
Aug3f-basal,140.000000,19.000000,9.710495,0.729423
Aug3f-basal,160.000000,11.000000,5.201087,0.745967
Aug3f-basal,180.000000,5.000000,0.700913,0.411295
Aug3c-apical,20.000000,1.000000,7.051608,2.996395
Aug3c-apical,40.000000,1.000000,3.937234,2.238982
Aug3c-apical,60.000000,5.000000,5.977968,1.031901
Aug3c-apical,80.000000,8.000000,4.937906,0.818343
Aug3c-apical,100.000000,9.000000,5.136032,0.670648
Aug3c-apical,120.000000,10.000000,7.207784,0.777544
Aug3c-apical,140.000000,12.000000,4.087016,0.627226
Aug3c-apical,160.000000,12.000000,5.831704,0.672791
Aug3c-apical,180.000000,12.000000,4.449720,0.576122
Aug3c-apical,200.000000,12.000000,5.115431,0.674417
Aug3c-apical,220.000000,13.000000,3.876681,0.589498
Aug3c-apical,240.000000,14.000000,5.220303,0.662829
Aug3c-apical,260.000000,11.000000,2.886820,0.565025
Aug3c-apical,280.000000,11.000000,4.742859,0.680001
Aug3c-apical,300.000000,14.000000,4.925653,0.618094
Aug3c-apical,320.000000,15.000000,4.223879,0.583630
Aug3c-apical,340.000000,15.000000,3.319091,0.495888
Aug3c-apical,360.000000,14.000000,3.314224,0.532110
Aug3c-apical,380.000000,11.000000,2.863421,0.546955
Aug3c-apical,400.000000,8.000000,2.780493,0.644609
Aug3c-apical,420.000000,9.000000,2.534835,0.572737
Aug3c-apical,440.000000,6.000000,1.115606,0.469626
Aug3c-apical,460.000000,4.000000,0.863187,0.468417
Aug3c-apical,480.000000,3.000000,0.432804,0.415048
Aug3c-apical,500.000000,1.000000,0.198946,0.503295
Aug3g-apical,20.000000,1.000000,4.797645,2.471548
Aug3g-apical,40.000000,3.000000,10.547214,2.076545
Aug3g-apical,60.000000,10.000000,11.220414,1.118092
Aug3g-apical,80.000000,12.000000,10.899105,0.939620
Aug3g-apical,100.000000,14.000000,16.067104,1.077249
Aug3g-apical,120.000000,13.000000,13.489479,0.985620
Aug3g-apical,140.000000,12.000000,8.523783,0.840820
Aug3g-apical,160.000000,10.000000,8.904867,0.957991
Aug3g-apical,180.000000,8.000000,8.204037,1.071745
Aug3g-apical,200.000000,6.000000,4.797916,0.953608
Aug3g-apical,220.000000,6.000000,7.671977,1.182302
Aug3g-apical,240.000000,8.000000,4.479453,0.806526
Aug3g-apical,260.000000,10.000000,5.878764,0.834675
Aug3g-apical,280.000000,11.000000,13.303072,1.175490
Aug3g-apical,300.000000,12.000000,7.388347,0.841716
Aug3g-apical,320.000000,10.000000,4.631627,0.730829
Aug3g-apical,340.000000,9.000000,7.588072,1.007179
Aug3g-apical,360.000000,6.000000,2.744802,0.742859
Aug3g-apical,380.000000,4.000000,1.818314,0.739519
Aug3g-apical,400.000000,3.000000,0.520089,0.461807
Aug3g-apical,420.000000,1.000000,0.124441,0.398049
Feb27f-apical,20.000000,2.000000,1.870497,0.934649
Feb27f-apical,40.000000,3.000000,2.661543,1.033044
Feb27f-apical,60.000000,4.000000,1.955400,0.689448
Feb27f-apical,80.000000,1.000000,0.826848,1.026048
Feb27f-apical,100.000000,1.000000,0.672492,0.925334
Feb27f-apical,120.000000,1.000000,2.209594,1.677302
Feb27f-apical,140.000000,1.000000,2.443822,1.763965
Feb27f-apical,160.000000,3.000000,2.670014,1.015963
Feb27f-apical,180.000000,3.000000,2.861985,1.098023
Feb27f-apical,200.000000,6.000000,3.101434,0.727974
Feb27f-apical,220.000000,7.000000,4.003296,0.729140
Feb27f-apical,240.000000,8.000000,1.563481,0.475198
Feb27f-apical,260.000000,9.000000,1.263463,0.396381
Feb27f-apical,280.000000,9.000000,2.859795,0.555630
Feb27f-apical,300.000000,8.000000,2.291906,0.547468
Feb27f-apical,320.000000,7.000000,2.375310,0.634455
Feb27f-apical,340.000000,5.000000,0.777550,0.400493
Feb27f-apical,360.000000,3.000000,0.720509,0.466726
Feb27f-apical,380.000000,2.000000,0.347128,0.455623
Feb27f-apical,400.000000,1.000000,0.066645,0.291298
Aug3g-basal,20.000000,16.000000,8.746051,0.801311
Aug3g-basal,40.000000,26.000000,13.406884,0.750211
Aug3g-basal,60.000000,27.000000,6.815874,0.541171
Aug3g-basal,80.000000,24.000000,9.441158,0.665679
Aug3g-basal,100.000000,20.000000,6.851427,0.611245
Aug3g-basal,120.000000,12.000000,6.145986,0.763721
Aug3g-basal,140.000000,6.000000,4.876858,0.952433
Aug3f-apical,20.000000,1.000000,8.467558,3.283478
Aug3f-apical,40.000000,2.000000,8.429753,2.252406
Aug3f-apical,60.000000,6.000000,11.865119,1.538185
Aug3f-apical,80.000000,14.000000,15.862982,1.105641
Aug3f-apical,100.000000,14.000000,10.992030,0.919652
Aug3f-apical,120.000000,16.000000,13.038177,0.969481
Aug3f-apical,140.000000,12.000000,6.447281,0.769073
Aug3f-apical,160.000000,11.000000,8.444922,0.915956
Aug3f-apical,180.000000,12.000000,11.993670,1.027632
Aug3f-apical,200.000000,7.000000,4.517852,0.794339
