Name,mBPAP
Aug3b-basal,44.639137
Aug3b-apical,24.038714
Aug3a-apical,17.085162
Aug3a-basal,32.812038
Aug3c-basal,39.937098
Aug3e-apical,12.197693
Aug3e-basal,34.766151
Aug3c-apical,15.942892
Aug3f-apical,15.740057
Aug3g-basal,42.771785
Aug3g-apical,18.703524
Aug3f-basal,39.697269
Feb27f-apical,21.336379
Feb27n-basal,35.014170
Feb27n-apical,17.372742
Dec15e-apical,17.610350
Dec15e-basal,33.194522
Jun7d-basal,27.724559
May31d-apical,22.198235
Jun7d-apical,14.602046
May31e-basal,26.004656
May31e-apical,9.552511
May3c-basal,32.753061
May3c-apical,12.882966
May3d-basal,36.203459
May3g-apical,8.635885
May3d-apical,10.862015
May3g-basal,21.449538
May3h-apical,13.859075
May3i-basal,36.027233
May3h-basal,37.055553
May3i-apical,11.501806
May3t-apical,12.006495
May3t-basal,25.146074
May3x-basal,34.798922
May3x-apical,18.081000
May3j-basal,21.417110
May3j-apical,9.211208
