Name,mBPAP
Aug3b-all,26.524687
Aug3a-all,19.090157
Aug3c-all,18.876455
Aug3e-all,14.363152
Aug3g-all,22.569438
Aug3f-all,16.421711
Feb27n-all,20.320427
Dec15e-all,18.366766
Jun7d-all,14.481808
May31e-all,10.351600
May3c-all,13.664596
May3d-all,13.774501
May3h-all,16.484428
May3g-all,8.462135
May3i-all,13.126105
May3x-all,20.280560
May3t-all,11.890010
May3j-all,8.285630
