Name,mBPAP
Aug3b-all,25.149751
Aug3a-all,18.531824
Aug3e-all,13.431457
Aug3c-all,18.050267
Aug3g-all,21.959944
Aug3f-all,16.228905
Feb27n-all,19.107178
Dec15e-all,18.935042
Jun7d-all,12.164306
May31e-all,8.244981
May3c-all,10.911295
May3d-all,10.901943
May3h-all,14.277607
May3i-all,12.275567
May3g-all,7.393015
May3x-all,19.123787
May3t-all,10.582654
May3j-all,7.112514
