ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
0       52      186.517899      N/A     352.645264      439.033661      82.863449       0.935132        0.0203  2.694381        mushroom        yes     46.091109       4429    0.960236        355.117004      438.536011      85.482697       216.8517
1       34      91.869331       N/A     239.121429      203.658096      52.92627        0.565461        0.0203  2.789915        mushroom        yes     15.849361       2181    0.401602        237.209503      204.823135      53.561905       214.386932
2       9       24.096867       N/A     179.878143      253.111984      99.708176       0.855644        0.0203  2.410201        mushroom        yes     -10.479891      306     0.578481        177.243835      254.261887      99.176491       162.943954
3       48      21.461195       N/A     235.304749      349.470337      68.768837       0.382348        0.0203  2.718939        mushroom        yes     -20.935333      3943    0       236.391998      351.437988      67.908798       49.300381
4       32      139.990448      N/A     358.106445      195.881989      83.182922       0.404499        0.0203  2.848905        mushroom        yes     -33.359154      1956    0.937746        356.252991      195.360992      81.915398       273.177185
5       23      60.74968        N/A     236.119278      283.534943      80.647575       0.450778        0.0203  2.842271        mushroom        yes     66.473774       1152    0       236.414993      282.411987      83.314903       132.029633
6       45      94.589554       N/A     262.695831      107.81649       53.153397       0.736481        0.0203  2.710073        mushroom        yes     -3.823934       3549    0       259.983002      109.334999      52.945599       317.597595
7       19      177.641998      N/A     143.78772       374.615692      76.593887       0.693667        N/A     2.559965        thin    yes     -35.724656      871     0.996529        143.641327      373.343323      75.672729       102.159599
8       32      139.990448      N/A     365.034637      185.330093      83.063736       0.456122        0.0203  2.934165        mushroom        yes     1.973627        1979    0.761427        361.666992      185.481003      83.179901       287.586487
9       34      91.869331       N/A     242.958191      205.943695      57.048359       0.602743        0.0203  2.743782        mushroom        yes     -4.73728        2172    0.124474        241.427994      208.570999      56.796398       207.703262
10      27      50.889141       N/A     242.990997      279.328033      68.977959       0.276145        0.0203  2.936494        thin    yes     0.746235        1355    0.565481        246.702713      280.090546      69.027313       118.329369
11      52      186.517899      N/A     333.760132      418.824463      82.396164       0.694068        0.0203  2.54885 mushroom        yes     -1.418846       4401    0.386221        334.415039      415.953796      82.323235       184.991821
12      52      186.517899      N/A     330.054871      409.274445      82.422607       0.235518        0.0203  2.606783        thin    yes     22.47681        4396    0.344359        329.335541      411.4617        83.375244       176.533264
