ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
37      43      109.740509      N/A     392.487671      181.668381      158.317719      1.121361        0.02    2.029449        mushroom        yes     -31.876135      2537    0.395651        393.822327      181.514038      157.482208      264.047211
38      38      90.930717       N/A     390.051056      72.443779       144.22731       0.2     0.02    2.139396        thin    yes     78.458105       2247    0.765163        390.409576      72.180603       146.405151      359.219604
39      12      149.54274       N/A     438.801086      196.084686      136.395416      0.483643        0.02    2.067383        mushroom        yes     -44.548547      830     0       440.178009      196.498993      134.979996      294.242035
40      38      90.930717       N/A     380.527008      84.777237       142.362045      0.629762        0.02    1.996005        mushroom        yes     64.043415       2222    0.000465        381.326996      84.756104       144.005997      339.821442
41      21      169.817505      N/A     418.127319      185.774521      120.848244      0.480744        0.02    2.062084        mushroom        yes     18.208549       1461    0       416.669006      184.229996      121.546997      270.770081
42      38      90.930717       N/A     390.827393      70.171875       144.439697      0.450147        0.02    1.966768        mushroom        yes     70.954692       2247    0.347812        391.260803      69.707489       146.27977       361.607574
43      12      149.54274       N/A     444.600037      192.800018      135.807266      0.243176        0.02    2.177107        thin    yes     19.830965       843     0       445.16098       194.856918      136.576141      300.639801
44      36      25.704958       N/A     344.97406       164.683655      128.591797      0.752899        0.02    2.053668        mushroom        yes     -15.352125      2072    0       346.656281      163.5569        128.035919      236.012802
45      20      88.959892       N/A     443.451599      174.400192      157.331329      0.80125 0.02    1.950343        mushroom        yes     -9.99587        1332    0.784634        443.300964      172.913635      157.067978      315.516479
46      8       66.177658       N/A     355.050476      80.673882       112.454407      0.636241        0.02    1.797724        mushroom        yes     38.723548       521     0.486374        355.748383      80.165932       113.14653       323.969879
47      37      20.260868       N/A     345.046722      142.358475      132.28891       0.454351        0.02    1.935851        mushroom        yes     0.480356        2272    0.95143 346.67099       143.378998      132.304993      258.311432
48      15      66.846718       N/A     433.806396      143.144989      141.494705      0.805146        0.679594        1.875204        mushroom        yes     -28.777258      1152    0.929553        432.965515      142.437561      140.891159      314.516235
49      43      109.740509      N/A     356.135376      199.870804      132.759354      0.361072        0.02    2.023479        mushroom        yes     30.780831       2440    0       354.627106      198.858978      133.841217      210.685547
50      42      105.884048      N/A     351.530823      188.613602      130.678452      0.967809        0.704463        1.874183        mushroom        yes     9.47715 2302    0.624087        349.698273      188.729019      130.98497       213.32785
51      12      149.54274       N/A     431.046387      201.952927      133.176758      0.438672        0.02    1.903948        mushroom        yes     -28.181645      810     0       430.733002      200.591003      132.427994      283.21405
52      38      90.930717       N/A     379.598297      97.636169       140.234573      0.669352        0.02    1.714549        mushroom        yes     36.090702       2218    0       378.346832      97.198593       141.201004      326.321716
53      7       113.390648      N/A     320.275848      217.582718      111.629082      0.560883        0.02    1.863928        mushroom        yes     31.493397       289     0.958286        321.615723      218.001663      112.489136      165.565948
